dataset;method;cls;nr_events;metric;score
sepsis_1;cluster_laststate;rf;18;rec;0.0
sepsis_1;cluster_laststate;rf;18;fscore;0.0
sepsis_1;cluster_laststate;rf;19;auc;0.2888888888888889
sepsis_1;cluster_laststate;rf;19;prec;0.0
sepsis_1;cluster_laststate;rf;19;rec;0.0
sepsis_1;cluster_laststate;rf;19;fscore;0.0
sepsis_1;cluster_laststate;rf;20;auc;0.0432098765432099
sepsis_1;cluster_laststate;rf;20;prec;0.0
sepsis_1;cluster_laststate;rf;20;rec;0.0
sepsis_1;cluster_laststate;rf;20;fscore;0.0
sepsis_1;cluster_laststate;rf;21;auc;0.0579710144927536
sepsis_1;cluster_laststate;rf;21;prec;0.0
sepsis_1;cluster_laststate;rf;21;rec;0.0
sepsis_1;cluster_laststate;rf;21;fscore;0.0
sepsis_1;cluster_laststate;rf;22;auc;0.05
sepsis_1;cluster_laststate;rf;22;prec;0.0
sepsis_1;cluster_laststate;rf;22;rec;0.0
sepsis_1;cluster_laststate;rf;22;fscore;0.0
sepsis_1;cluster_laststate;rf;23;auc;0.09803921568627452
sepsis_1;cluster_laststate;rf;23;prec;0.0
sepsis_1;cluster_laststate;rf;23;rec;0.0
sepsis_1;cluster_laststate;rf;23;fscore;0.0
sepsis_1;cluster_laststate;rf;24;auc;0.08333333333333333
sepsis_1;cluster_laststate;rf;24;prec;0.0
sepsis_1;cluster_laststate;rf;24;rec;0.0
sepsis_1;cluster_laststate;rf;24;fscore;0.0
sepsis_1;cluster_laststate;rf;25;auc;0.08333333333333333
sepsis_1;cluster_laststate;rf;25;prec;0.0
sepsis_1;cluster_laststate;rf;25;rec;0.0
sepsis_1;cluster_laststate;rf;25;fscore;0.0
sepsis_1;cluster_laststate;rf;26;auc;0.10256410256410256
sepsis_1;cluster_laststate;rf;26;prec;0.0
sepsis_1;cluster_laststate;rf;26;rec;0.0
sepsis_1;cluster_laststate;rf;26;fscore;0.0
sepsis_1;cluster_laststate;rf;27;auc;0.08974358974358973
sepsis_1;cluster_laststate;rf;27;prec;0.0
sepsis_1;cluster_laststate;rf;27;rec;0.0
sepsis_1;cluster_laststate;rf;27;fscore;0.0
sepsis_1;cluster_laststate;rf;28;auc;0.08333333333333337
sepsis_1;cluster_laststate;rf;28;prec;0.0
sepsis_1;cluster_laststate;rf;28;rec;0.0
sepsis_1;cluster_laststate;rf;28;fscore;0.0
sepsis_1;cluster_laststate;rf;29;auc;0.09090909090909094
sepsis_1;cluster_laststate;rf;29;prec;0.0
sepsis_1;cluster_laststate;rf;29;rec;0.0
sepsis_1;cluster_laststate;rf;29;fscore;0.0
sepsis_1;cluster_laststate;rf;30;auc;0.09999999999999998
sepsis_1;cluster_laststate;rf;30;prec;0.0
sepsis_1;cluster_laststate;rf;30;rec;0.0
sepsis_1;cluster_laststate;rf;30;fscore;0.0
sepsis_1;cluster_laststate;rf;-1;auc;0.3649446601800544
sepsis_1;cluster_laststate;rf;-1;fscore;0.8213548776559212
bpic2017_C;prefix_laststate;logit;1;auc;0.7220258692549477
bpic2017_C;prefix_laststate;logit;1;prec;0.5402999062792877
bpic2017_C;prefix_laststate;logit;1;rec;0.38913263584205204
bpic2017_C;prefix_laststate;logit;1;fscore;0.452422993917991
bpic2017_C;prefix_laststate;logit;2;auc;0.7215440228683889
bpic2017_C;prefix_laststate;logit;2;prec;0.5421002838221382
bpic2017_C;prefix_laststate;logit;2;rec;0.3867701653729329
bpic2017_C;prefix_laststate;logit;2;fscore;0.4514477053377979
bpic2017_C;prefix_laststate;logit;3;auc;0.7238032114960009
bpic2017_C;prefix_laststate;logit;3;prec;0.5361702127659574
bpic2017_C;prefix_laststate;logit;3;rec;0.3827202159973001
bpic2017_C;prefix_laststate;logit;3;fscore;0.4466325324931075
bpic2017_C;prefix_laststate;logit;4;auc;0.7272320466476097
bpic2017_C;prefix_laststate;logit;4;prec;0.5314718409843824
bpic2017_C;prefix_laststate;logit;4;rec;0.37900776240297
bpic2017_C;prefix_laststate;logit;4;fscore;0.4424743892829
bpic2017_C;prefix_laststate;logit;5;auc;0.7336703886080942
bpic2017_C;prefix_laststate;logit;5;prec;0.5247799907364521
bpic2017_C;prefix_laststate;logit;5;rec;0.3823827202159973
bpic2017_C;prefix_laststate;logit;5;fscore;0.44240531042561504
bpic2017_C;prefix_laststate;logit;6;auc;0.7834039499205057
bpic2017_C;prefix_laststate;logit;6;prec;0.7049345417925479
bpic2017_C;prefix_laststate;logit;6;rec;0.7087411407357408
bpic2017_C;prefix_laststate;logit;6;fscore;0.7068327162571525
bpic2017_C;prefix_laststate;logit;7;auc;0.7841784620764529
bpic2017_C;prefix_laststate;logit;7;prec;0.7163982911600394
bpic2017_C;prefix_laststate;logit;7;rec;0.7357408032399595
bpic2017_C;prefix_laststate;logit;7;fscore;0.725940725940726
bpic2017_C;prefix_laststate;logit;8;auc;0.7959315493496089
bpic2017_C;prefix_laststate;logit;8;prec;0.7302355598580187
bpic2017_C;prefix_laststate;logit;8;rec;0.7637529530880864
bpic2017_C;prefix_laststate;logit;8;fscore;0.7466182777961071
bpic2017_C;prefix_laststate;logit;9;auc;0.8345487925376837
bpic2017_C;prefix_laststate;logit;9;prec;0.770720863766275
bpic2017_C;prefix_laststate;logit;9;rec;0.8191022612217347
